sample_ID	filtered_reads_in_sample	kingdom	phylum	tclass	order	family	genus	species	subspecies	read_count	RPKMF	avg_read_identity	consensus_ref_identity	assembly_list
MODAD_B3-C.p1733	22567616	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Saturnivirales	f__Kanorauviridae	g__Scythevirus	s__Scythevirus dianchis	t__Circovirus-like genome DCCV-13	4	0.07285044331890082	0.9867549668874173	0.9854545454545455	GCF_001684925.1
SEVAD_B10-B.p1733	19978684	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	10	0.003087540055583125	0.9900662251655629	0.996	GCF_000846365.1
SEVAD_B3-B.p1733	15659588	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__SEN virus	t__SEN virus	7	0.15371749769252205	0.9631031220435193	0.9867549668874173	set:MK820646
SEVAD_B3-B.p1733	15659588	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	8	0.0031512955312917655	1.0	1.0	GCF_000846365.1
SEVAD_B3-B.p1733	15659588	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	64	0.7366533868202354	0.9842715231788082	0.9870722433460076	acc:ON023021.1
SEVAD_B6-C.p1733	2965336	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Simplexvirus	s__Simplexvirus humanalpha1	t__Human alphaherpesvirus 1	4	0.008785346356385308	0.9983443708609272	0.9983221476510067	acc:ON783215.1
SEVAD_B6-C.p1733	2965336	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus porConc	t__unclassified_Gammaretrovirus porConc	8	0.3342219153251023	0.9275322053887327	0.9310344827586207	set:AF356697
SEVAD_B4-A.p1733	23457676	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	84	0.634015119249619	0.9813117802498943	0.9877049180327869	acc:ON023019.1
HELTHY_B4-C.p1733	11519984	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Cirlivirales	f__Circoviridae	g__unclassified_Circoviridae	s__Circovirus-like genome DCCV-4	t__Circovirus-like genome DCCV-4	1	0.02908062851557609	1.0	1.0	GCF_001684685.1
HELTHY_B4-C.p1733	11519984	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Saturnivirales	f__Kanorauviridae	g__Scythevirus	s__Scythevirus dianchis	t__Circovirus-like genome DCCV-13	1	0.035678452987667336	0.9867549668874173	0.9867549668874173	GCF_001684925.1
HELTHY_B4-C.p1733	11519984	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Cytomegalovirus	s__Cytomegalovirus humanbeta5	t__Human betaherpesvirus 5	30	0.011051196640595801	0.9906116088819633	0.9930313588850174	GCF_000845245.1
SEVAD_B5-C.p1733	55477862	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Cirlivirales	f__Circoviridae	g__unclassified_Circoviridae	s__Circovirus-like genome DCCV-4	t__Circovirus-like genome DCCV-4	4	0.024154382532577064	0.9933774834437086	0.9927007299270073	GCF_001684685.1
SEVAD_B5-C.p1733	55477862	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Ambidensovirus	s__Lepidopteran ambidensovirus 1	t__Junonia coenia densovirus	13	0.03966277988222126	0.9852266938359655	0.988155668358714	GCF_000861805.1
SEVAD_B5-C.p1733	55477862	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus porConc	t__Porcine type-C oncovirus	5	0.011165267569955173	0.9814569536423843	0.9867549668874173	set:AF356697
SEVAD_B1-C.p1733	11583604	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Anellovirus D_HF7_66	t__Anellovirus D_HF7_66	4	0.09113636105784671	0.9551966626598929	0.9586776859504132	acc:OR148955.1
SEVAD_B1-C.p1733	11583604	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	24	0.5668656723089158	0.927220247533768	0.9308943089430894	acc:MN768562.1
SEVAD_B1-C.p1733	11583604	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Ambidensovirus	s__Lepidopteran ambidensovirus 1	t__Pseudoplusia includens densovirus	1	0.014412173290825593	0.9933774834437086	0.9933774834437086	GCF_000902575.1
MODAD_B3-A.p1733	17303756	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	3	0.044672188532238234	0.9251207729468599	0.9710144927536232	set:FR751497
MODAD_B3-A.p1733	17303756	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	41	0.6858579507192047	0.9355420030518873	0.9377956480605487	acc:MN765195.1,set:MK820645
MODAD_B3-A.p1733	17303756	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Gammapapillomavirus	s__Gammapapillomavirus 14	t__Gammapapillomavirus 14	28	0.2260295843656593	0.9609744560075687	0.9633333333333334	set:MF588723
MODAD_B3-A.p1733	17303756	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	137	1.4237288632755183	0.9866963423426577	0.9821337417049515	acc:ON023025.1
MODAD_B3-A.p1733	17303756	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus quintihominis	t__Merkel cell polyomavirus	214	2.295759633094112	0.9974933465371048	0.9987035436473639	GCF_000874865.1
SEVAD_B4-B.p1733	15819378	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	29	0.011308059179869734	0.9885818680063944	0.9902676399026764	GCF_000846365.1
SEVAD_B4-B.p1733	15819378	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	4	0.04546923973945152	0.9735099337748344	0.9735099337748344	acc:ON023025.1
MODAD_B1-B.p1733	17116788	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 1	t__Human papillomavirus 5	30	0.2262671415037941	0.9880794701986756	0.98989898989899	GCF_000866505.1
SEVAD_B3-C.p1733	28116734	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Saturnivirales	f__Kanorauviridae	g__Scythevirus	s__Scythevirus dianchis	t__Circovirus-like genome DCCV-13	17	0.24850889611025082	0.9854668604039482	0.9872448979591837	GCF_001684925.1
SEVAD_B3-C.p1733	28116734	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Ambidensovirus	s__Lepidopteran ambidensovirus 1	t__Pseudoplusia includens densovirus	2	0.01187512804156418	0.9933774834437086	0.9933774834437086	GCF_000902575.1
SEVAD_B3-C.p1733	28116734	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus porConc	t__Porcine type-C oncovirus	7	0.030842673363651263	0.9709433423719137	0.972027972027972	set:AF356697
SEVAD_B6-A.p1733	19089364	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Dependoparvovirus	s__Dependoparvovirus primate1	t__adeno-associated virus 2	18	0.20152456884055958	0.9782928623988228	0.9801324503311258	GCF_000838645.1
SEVAD_B6-A.p1733	19089364	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	26	0.24492267475603346	0.9796230259806423	0.9817850637522769	acc:ON023025.1
SEVAD_B8-A.p1733	18617854	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6a	t__Human betaherpesvirus 6A	34	0.011458319402582422	0.9801324503311262	0.985663082437276	GCF_000845685.2
SEVAD_B8-A.p1733	18617854	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus quintihominis	t__Merkel cell polyomavirus	8	0.07976518764104353	0.9842715231788078	0.9885496183206107	GCF_000874865.1
HELTHY_B2-C.p1733	30125202	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Varicellovirus	s__Varicellovirus felidalpha1	t__Felid alphaherpesvirus 1	4	0.0009777770690863922	0.9966887417218543	1.0	GCF_000885455.1
HELTHY_B2-C.p1733	30125202	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus porConc	t__unclassified_Gammaretrovirus porConc	6	0.024674032331031614	0.9326710816777042	0.9342105263157895	set:AF356697
HELTHY_B2-C.p1733	30125202	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus woomonsar	t__unclassified_Gammaretrovirus woomonsar	2	0.011488076886202181	0.9072847682119205	0.9072847682119205	GCF_000870685.2
MODAD_B1-A.p1733	21408056	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Dependoparvovirus	s__Adeno-associated virus	t__Adeno-associated virus	34	0.33892171914063973	0.9811063498246985	0.9860228716645489	set:MK139297
SEVAD_B3-A.p1733	21280764	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Anellovirus D_HF7_66	t__Anellovirus D_HF7_66	14	0.17362658162709338	0.9914853358561969	0.9933774834437086	acc:OR148955.1
SEVAD_B3-A.p1733	21280764	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	232	1.9604143566950087	0.9875256907969859	0.9919452275473218	acc:ON023025.1
SEVAD_B2-C.p1733	37482136	k__Viruses	p__Pisuviricota	c__Pisoniviricetes	o__Nidovirales	f__Coronaviridae	g__Betacoronavirus	s__Betacoronavirus pandemicum	t__unclassified_Betacoronavirus pandemicum	2	0.0017852304198834206	0.9602649006622517	1.0	acc:MW338781.1
SEVAD_B2-C.p1733	37482136	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Alphapapillomavirus	s__Alphapapillomavirus 2	t__Human papillomavirus 28	1	0.0033521015215413723	0.9867549668874173	0.9867549668874173	set:U31783
SEVAD_B2-C.p1733	37482136	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__unclassified_Gammaretrovirus	t__unclassified_Gammaretrovirus	4	0.01846643087727827	0.8933566433566433		GCF_000870685.2
SEVAD_B2-B.p1733	21049954	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	2	0.01682225285267666	0.990066225165563	0.9897610921501706	acc:ON023019.1
SEVAD_B2-A.p1733	22516558	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 1	t__Human papillomavirus type 195	12	0.07041103660057615	0.9983443708609272	1.0	set:KR816182
SEVAD_B2-A.p1733	22516558	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 4	t__Human papillomavirus type 92	26	0.15476555350906696	0.9987264391237901	1.0	GCF_000846285.1
SEVAD_B2-A.p1733	22516558	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	227	1.817135872968573	0.9890766489838541	0.9897103658536586	acc:ON023021.1
HELTHY_B4-A.p1733	23662658	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Cytomegalovirus	s__Cytomegalovirus humanbeta5	t__Human betaherpesvirus 5	98	0.017575289063878206	0.9818894445195301	0.9959785522788204	GCF_000845245.1
SEVAD_B7-C.p1733	33384822	k__Viruses	p__Cressdnaviricota	c__Arfiviricetes	o__Cirlivirales	f__Circoviridae	g__unclassified_Circoviridae	s__Circovirus-like genome DCCV-4	t__Circovirus-like genome DCCV-4	2	0.020069501955671965	0.9635761589403973	0.98	GCF_001684685.1
SEVAD_B7-C.p1733	33384822	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus quintihominis	t__Merkel cell polyomavirus	2	0.011120746860531059	0.990066225165563	0.9853658536585366	GCF_000874865.1
HELTHY_B3-C.p1733	23586956	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Alphatorquevirus	s__Alphatorquevirus homin13	t__Torque teno virus 13	14	0.19321236986521986	0.8997161778618731	0.9933774834437086	set:KP343840
HELTHY_B3-C.p1733	23586956	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	130	1.8727559834322167	0.9715345265961376	0.9343246592317225	acc:MN771329.1
HELTHY_B3-C.p1733	23586956	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__SEN virus	t__SEN virus	4694	51.82507795127669	0.9713694457833187	0.9701617401003904	set:KM593802
HELTHY_B3-C.p1733	23586956	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	55	0.6214811531455137	0.9224015988947226	0.972318339100346	set:FR848326
HELTHY_B3-C.p1733	23586956	k__Viruses	p__Negarnaviricota	c__Monjiviricetes	o__Mononegavirales	f__Paramyxoviridae	g__Morbillivirus	s__Morbillivirus hominis	t__unclassified_Morbillivirus hominis	2	0.005334211663544786	0.94	0.9411764705882353	acc:PP887450.1
HELTHY_B3-A.p1733	25961058	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__TTV-like mini virus	61	0.7785530530969949	0.9031201086952625	0.9572953736654805	acc:MN770650.1
HELTHY_B3-A.p1733	25961058	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	932	12.205847290369501	0.9213099016712673	0.9273740292986169	acc:MN770455.1,acc:MN770914.1,acc:MN771329.1
HELTHY_B3-A.p1733	25961058	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__SEN virus	t__SEN virus	42545	426.7710153928755	0.9740378526659806	0.9696216514774924	set:KM593802
HELTHY_B3-A.p1733	25961058	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	107	1.1032006846298317	0.9197366602048846	0.9213759213759214	GCF_000887275.1
HELTHY_B3-A.p1733	25961058	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	4	0.0009504233164586387	0.9933774834437086	0.9952830188679245	GCF_000846365.1
SEVAD_B4-C.p1733	29445692	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Anellovirus D_HF7_66	t__Anellovirus D_HF7_66	20	0.17926009626384692	0.9688741721854306	0.9636678200692042	acc:OR148955.1
SEVAD_B4-C.p1733	29445692	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	8	0.07293600050939232	0.9776490066225164	0.9801324503311258	GCF_000893775.1
SEVAD_B4-C.p1733	29445692	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 2	t__Human papillomavirus 122	9	0.04132045790653943	0.9977924944812363	1.0	set:GQ845444
SEVAD_B4-C.p1733	29445692	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Ambidensovirus	s__Lepidopteran ambidensovirus 1	t__Junonia coenia densovirus	10	0.057482777991174336	0.9655629139072847	0.9667774086378738	GCF_000861805.1
SEVAD_B4-C.p1733	29445692	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	14	0.08418051581455403	0.9990539262062441	1.0	acc:ON023019.1
MODAD_B2-C.p1733	41154262	k__Viruses	p__Artverviricota	c__Revtraviricetes	o__Ortervirales	f__Retroviridae	g__Gammaretrovirus	s__Gammaretrovirus woomonsar	t__unclassified_Gammaretrovirus woomonsar	4	0.016818702120736446	0.9117647058823529	0.9117647058823529	GCF_000870685.2
HELTHY_B3-B.p1733	17343236	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__TTV-like mini virus	114	2.2334922784947473	0.9568476516575456	0.9627659574468085	acc:MN771329.1
HELTHY_B3-B.p1733	17343236	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Betatorquevirus	s__TTV-like mini virus	t__unclassified_TTV-like mini virus	42	0.8018852288126576	0.9331955356285915	0.9446808510638298	acc:MN770161.1
HELTHY_B3-B.p1733	17343236	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__SEN virus	t__SEN virus	9609	144.28355527192272	0.9729451308102226	0.9703496503496504	set:KM593802
HELTHY_B3-B.p1733	17343236	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	138	2.490090579792823	0.9279514840909303	0.9305626149983226	GCF_000887275.1,set:KP343840
HELTHY_B2-B.p1733	17955738	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	2	0.0006870782711113037	1.0	1.0	GCF_000846365.1
SEVAD_B9-B.p1733	25005738	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Simplexvirus	s__Simplexvirus humanalpha1	t__Human alphaherpesvirus 1	539	0.14160274260164693	0.9793907178638146	0.9934672747442377	GCF_000859985.2
