Accession	Assembly	Organism_Name	Species	Genus	Genotype	Isolate	Segment	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
PV031968.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU4		MAG: Human parvovirus B19 isolate ICU4, complete genome	5597	complete	France	blood	2023-05-31	2025-02-03	ssDNA(+/-)
PV031969.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU5		MAG: Human parvovirus B19 isolate ICU5, complete genome	5597	complete	France	blood	2023-06-22	2025-02-03	ssDNA(+/-)
PV031970.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU6		MAG: Human parvovirus B19 isolate ICU6, complete genome	5597	complete	France	blood	2023-08-14	2025-02-03	ssDNA(+/-)
PV031971.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU7		MAG: Human parvovirus B19 isolate ICU7, complete genome	5599	complete	France	blood	2023-11-16	2025-02-03	ssDNA(+/-)
PV031972.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU8		MAG: Human parvovirus B19 isolate ICU8, complete genome	5595	complete	France	blood	2023-12-06	2025-02-03	ssDNA(+/-)
PV031973.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU9		MAG: Human parvovirus B19 isolate ICU9, complete genome	5597	complete	France	blood	2024-01-20	2025-02-03	ssDNA(+/-)
PV031974.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU10		MAG: Human parvovirus B19 isolate ICU10, complete genome	5597	complete	France	blood	2024-04-02	2025-02-03	ssDNA(+/-)
PV031975.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU11		MAG: Human parvovirus B19 isolate ICU11, complete genome	5597	complete	France	blood	2024-04-04	2025-02-03	ssDNA(+/-)
PV031976.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU12		MAG: Human parvovirus B19 isolate ICU12, complete genome	5598	complete	France	blood	2023-07-24	2025-02-03	ssDNA(+/-)
PV031977.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU1		MAG: Human parvovirus B19 isolate nonICU1, complete genome	5597	complete	France	blood	2024-01-11	2025-02-03	ssDNA(+/-)
PV031978.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU2		MAG: Human parvovirus B19 isolate nonICU2, complete genome	5597	complete	France	blood	2024-01-18	2025-02-03	ssDNA(+/-)
PV031979.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU3		MAG: Human parvovirus B19 isolate nonICU3, complete genome	5597	complete	France	blood	2024-01-19	2025-02-03	ssDNA(+/-)
PV031980.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU4		MAG: Human parvovirus B19 isolate nonICU4, complete genome	5597	complete	France	blood	2024-02-05	2025-02-03	ssDNA(+/-)
PV031981.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU5		MAG: Human parvovirus B19 isolate nonICU5, complete genome	5596	complete	France	blood	2024-03-12	2025-02-03	ssDNA(+/-)
PV031982.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU6		MAG: Human parvovirus B19 isolate nonICU6, complete genome	5597	complete	France	blood	2024-03-13	2025-02-03	ssDNA(+/-)
PV031983.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU7		MAG: Human parvovirus B19 isolate nonICU7, complete genome	5597	complete	France	blood	2024-03-29	2025-02-03	ssDNA(+/-)
PV031984.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonICU8		MAG: Human parvovirus B19 isolate nonICU8, complete genome	5595	complete	France	blood	2024-03-31	2025-02-03	ssDNA(+/-)
PV031985.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	nonIUC9		MAG: Human parvovirus B19 isolate nonIUC9, complete genome	4544	complete	France	blood	2024-02-06	2025-02-03	ssDNA(+/-)
PV031986.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	ICU13		MAG: Human parvovirus B19 isolate ICU13, complete genome	4739	complete	France	blood	2023-11-01	2025-02-03	ssDNA(+/-)
PV031987.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	2311V010028-ICU		MAG: Human parvovirus B19 isolate 2311V010028-ICU, complete genome	4537	complete	France	blood	2024-02-23	2025-02-03	ssDNA(+/-)
PP818758.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		Grenoble 1 2024		Human parvovirus B19 strain Grenoble 1 2024, complete genome	5591	complete	France	blood	2024-01	2024-05-27	ssDNA(+/-)
OZ030814.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		RNA		Erythroparvovirus primate1 isolate RNA genome assembly, complete genome: monopartite	5245	complete	Slovakia		2024-01-30	2024-04-12	ssDNA(+/-)
OZ030823.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		RNA		Erythroparvovirus primate1 isolate RNA genome assembly, complete genome: monopartite	5304	complete	Slovakia		2024-01-30	2024-04-12	ssDNA(+/-)
OZ031102.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		RNA		Erythroparvovirus primate1 isolate RNA genome assembly, complete genome: monopartite	5303	complete	Slovakia		2024-02-01	2024-04-12	ssDNA(+/-)
OZ031174.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		RNA		Erythroparvovirus primate1 isolate RNA genome assembly, complete genome: monopartite	5523	complete	Slovakia		2024-02-01	2024-04-12	ssDNA(+/-)
OZ030227.1		Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		RNA		Erythroparvovirus primate1 isolate RNA genome assembly, complete genome: monopartite	5304	complete	Slovakia		2024-02-15	2024-04-11	ssDNA(+/-)
OR664019.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1A	SW26		Human parvovirus B19 isolate SW26, complete genome	5588	complete	India	blood	2023	2023-10-31	ssDNA(+/-)
OR578523.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	MS-B19-17-31-148		Human parvovirus B19 isolate MS-B19-17-31-148, complete genome	5597	complete	Brazil: Mato Grosso do Sul, Eldorado	blood	2017-11-15	2023-10-25	ssDNA(+/-)
OR578524.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	MS-B19-18-102-7397		Human parvovirus B19 isolate MS-B19-18-102-7397, complete genome	5594	complete	Brazil: Mato Grosso do Sul, Campo Grande	blood	2018-07-25	2023-10-25	ssDNA(+/-)
OR578525.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	MS-B19-17-201-1400		Human parvovirus B19 isolate MS-B19-17-201-1400, complete genome	5592	complete	Brazil: Mato Grosso do Sul, Dourados	blood	2017-07-05	2023-10-25	ssDNA(+/-)
OR578526.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1a	MS-B19-17-31-100		Human parvovirus B19 isolate MS-B19-17-31-100, complete genome	5597	complete	Brazil: Mato Grosso do Sul, Eldorado	blood	2017-10-22	2023-10-25	ssDNA(+/-)
OR138119.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		LP1		Human parvovirus B19 isolate LP1, complete genome	5571	complete	France		2017	2023-07-25	ssDNA(+/-)
OR138120.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		LP2		Human parvovirus B19 isolate LP2, complete genome	5596	complete	France		2017	2023-07-25	ssDNA(+/-)
OR138121.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		LP4		Human parvovirus B19 isolate LP4, complete genome	5585	complete	France		2017	2023-07-25	ssDNA(+/-)
OR138122.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		LP5		Human parvovirus B19 isolate LP5, complete genome	5578	complete	France		2019	2023-07-25	ssDNA(+/-)
ON113045.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SQH01		Human parvovirus B19 isolate SQH01, complete genome	4836	complete	China: Changchun, Jilin		2021-10-09	2023-01-25	ssDNA(+/-)
ON023018.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-21		Human parvovirus B19 isolate AA-21, complete genome	5586	complete	Finland	skin	2015	2023-01-14	ssDNA(+/-)
ON023019.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-22		Human parvovirus B19 isolate AA-22, complete genome	5648	complete	Finland	kidney, abdominal cavity	2015	2023-01-14	ssDNA(+/-)
ON023020.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	AA-23		Human parvovirus B19 isolate AA-23, complete genome	5596	complete	Finland	abdominal cavity	2015	2023-01-14	ssDNA(+/-)
ON023021.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-24		Human parvovirus B19 isolate AA-24, complete genome	5548	complete	Finland	lung	2015	2023-01-14	ssDNA(+/-)
ON023022.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	AA-25		Human parvovirus B19 isolate AA-25, complete genome	5596	complete	Finland	heart	2015	2023-01-14	ssDNA(+/-)
ON023023.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-26		Human parvovirus B19 isolate AA-26, complete genome	5648	complete	Finland	skin	2015	2023-01-14	ssDNA(+/-)
ON023024.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-27		Human parvovirus B19 isolate AA-27, complete genome	5588	complete	Finland	skin	2015	2023-01-14	ssDNA(+/-)
ON023025.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-28		Human parvovirus B19 isolate AA-28, complete genome	5561	complete	Finland	kidney, abdominal cavity	2015	2023-01-14	ssDNA(+/-)
ON023026.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	AA-29		Human parvovirus B19 isolate AA-29, complete genome	5596	complete	Finland	lung	2015	2023-01-14	ssDNA(+/-)
ON023027.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-30		Human parvovirus B19 isolate AA-30, complete genome	5587	complete	Finland	skin	2015	2023-01-14	ssDNA(+/-)
MZ695225.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		B19-490		Human parvovirus B19 isolate B19-490, complete genome	5054	complete	China		2021-01-05	2022-10-24	ssDNA(+/-)
MN765167.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SAfia-387D		MAG: Human parvovirus B19 isolate SAfia-387D, complete genome	5281	complete	Tanzania		2015	2021-12-19	ssDNA(+/-)
MN765168.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SAfia-026D		MAG: Human parvovirus B19 isolate SAfia-026D, complete genome	5122	complete	Tanzania		2015	2021-12-19	ssDNA(+/-)
MN765169.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SAfia-676D		MAG: Human parvovirus B19 isolate SAfia-676D, complete genome	5028	complete	Tanzania		2015	2021-12-19	ssDNA(+/-)
MN765170.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SAfia-386D		MAG: Human parvovirus B19 isolate SAfia-386D, complete genome	5028	complete	Tanzania		2015	2021-12-19	ssDNA(+/-)
MN765171.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		SAfia-743D		MAG: Human parvovirus B19 isolate SAfia-743D, complete genome	5085	complete	Tanzania		2015	2021-12-19	ssDNA(+/-)
MT410184.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	2	AA-01		Human parvovirus B19 isolate AA-01, complete genome	5588	complete	Finland		2015	2020-08-04	ssDNA(+/-)
MT410187.1		Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	AA-04		Human parvovirus B19 isolate AA-04, complete genome	5596	complete	Finland		2015	2020-08-04	ssDNA(+/-)
MH201455.1	set:MH201455	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	BX1		Human parvovirus B19 isolate BX1, complete genome	5596	complete	USA		2009	2019-01-21	ssDNA(+/-)
MH201456.1	set:MH201456	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	BX2		Human parvovirus B19 isolate BX2, complete genome	5596	complete	USA		2009	2019-01-21	ssDNA(+/-)
KX752821.1	set:KX752821	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	3rd_WHO_IRP		Human parvovirus B19 isolate 3rd_WHO_IRP, complete genome	4539	complete	USA			2017-08-19	ssDNA(+/-)
KT310174.1	set:KT310174	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus				Human parvovirus B19 strain HZ1, complete genome	5222	complete	China		2014	2015-12-06	ssDNA(+/-)
KT268312.1	set:KT268312	Erythroparvovirus primate1	Erythroparvovirus primate1	Erythroparvovirus		B19V/RJ2929		Primate erythroparvovirus 1 isolate B19V/RJ2929, complete genome	5594	complete	Brazil			2015-07-20	ssDNA(+/-)
KM393163.1	set:KM393163	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU2		Human parvovirus B19 isolate KU2, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393164.1	set:KM393164	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU3		Human parvovirus B19 isolate KU3, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393165.1	set:KM393165	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU4		Human parvovirus B19 isolate KU4, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393166.1	set:KM393166	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU5		Human parvovirus B19 isolate KU5, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393167.1	set:KM393167	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU8		Human parvovirus B19 isolate KU8, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393168.1	set:KM393168	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU11		Human parvovirus B19 isolate KU11, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
KM393169.1	set:KM393169	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU12		Human parvovirus B19 isolate KU12, complete genome	5596	complete	USA	blood	2013	2014-10-12	ssDNA(+/-)
AB550331.1	set:AB550331	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		F27		Human parvovirus B19 DNA, complete genome, isolate: F27	5588	complete				2010-03-13	ssDNA(+/-)
FJ591158.1	set:FJ591158	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		KU1		Human parvovirus B19 isolate KU1, complete genome	5412	complete	USA		2008	2009-01-13	ssDNA(+/-)
AY504945.1	set:AY504945	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus	1	NAN		B19 virus isolate NAN, complete genome	5595	complete	United Kingdom			2004-01-21	ssDNA(+/-)
AY386330.1	set:AY386330	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		J35		B19 virus isolate J35, complete genome	5596	complete				2003-10-08	ssDNA(+/-)
NC_000883.2	GCF_000839645.1	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus		J35		Human parvovirus B19, complete genome	5596	complete				1999-08-02	ssDNA(+/-)
AF162273.1	set:AF162273	Human parvovirus B19	Erythroparvovirus primate1	Erythroparvovirus				Erythrovirus B19 strain HV, complete genome	5594	complete				1999-08-02	ssDNA(+/-)
